Employee_ID,HR_Job_Type,HR_Location,Hire_Date,Termination_Date
9001621,Correctional,Alpha,2011-01-12,NA
9001623,Correctional,Delta,2011-01-12,NA
9001624,Correctional,Alpha,2011-01-12,NA
9001625,Correctional Supervisor,Delta,2011-01-12,NA
9001628,Correctional,Delta,2011-01-12,NA
9001630,Correctional,Alpha,2011-01-12,NA
9001631,Correctional Supervisor,Alpha,2013-11-15,NA
9001634,Correctional,Gamma,2011-01-12,NA
9001635,Correctional,Delta,2011-01-12,NA
9001652,Correctional Supervisor,Epsilon,2011-01-12,NA
9001653,Correctional Supervisor,Beta,2011-01-12,NA
9001654,Correctional Supervisor,Gamma,2011-01-12,NA
9001655,Correctional,Delta,2011-01-12,NA
9001660,Correctional,Delta,2012-05-15,NA
9001665,Correctional,Alpha,2011-01-12,NA
9001666,Correctional Supervisor,Beta,2017-03-01,NA
9001667,Correctional,Epsilon,2011-01-12,NA
9001668,Correctional,Alpha,2011-01-12,NA
9001673,Correctional,Epsilon,2011-01-12,NA
9001675,Correctional,Gamma,2017-08-01,NA
9001680,Correctional,Alpha,2011-01-12,NA
9001683,Correctional,Epsilon,2011-01-12,NA
9001688,Correctional,Epsilon,2014-02-01,NA
9001689,Correctional,Delta,2011-01-12,NA
9001690,Correctional,Delta,2011-01-12,NA
9001692,Correctional,Gamma,2011-01-12,NA
9001693,Correctional,Delta,2011-01-12,NA
9001696,Correctional Supervisor,Epsilon,2011-01-12,NA
9001698,Correctional,Epsilon,2011-01-12,NA
9001700,Correctional,Gamma,2011-01-12,NA
9001702,Correctional,Gamma,2011-01-12,NA
9001703,Correctional,Delta,2012-12-01,NA
9001707,Correctional,Gamma,2011-01-12,NA
9001709,Correctional,Beta,2011-01-12,NA
9001710,Correctional Supervisor,Delta,2011-01-12,NA
9001712,Correctional,Delta,2011-01-12,NA
9001717,Correctional,Gamma,2011-01-12,NA
9001718,Correctional,Delta,2016-07-01,NA
9001719,Correctional,Delta,2011-01-12,NA
9001722,Correctional,Delta,2011-01-12,NA
9001724,Correctional,Delta,2011-01-12,NA
9001726,Correctional,Gamma,2011-01-12,NA
9001735,Correctional,Epsilon,2011-01-12,NA
9001736,Correctional,Delta,2011-01-12,NA
9001739,Correctional,Delta,2017-01-01,NA
9001743,Correctional,Delta,2011-01-12,NA
9001746,Correctional,Gamma,2011-01-12,NA
9001747,Correctional Supervisor,Alpha,2011-01-12,NA
9001753,Correctional,Beta,2018-01-01,NA
9001755,Correctional,Gamma,2011-01-12,NA
9001756,Correctional,Epsilon,2014-01-15,NA
9001758,Correctional,Delta,2011-01-12,NA
9001759,Correctional,Alpha,2011-01-12,NA
9001760,Correctional,Delta,2011-01-12,NA
9001761,Correctional,Epsilon,2011-01-12,NA
9001762,Correctional Supervisor,Alpha,2011-01-12,NA
9001763,Correctional,Epsilon,2011-01-12,NA
9001765,Correctional,Gamma,2011-01-12,NA
9001768,Correctional,Delta,2011-01-12,NA
9001769,Correctional Supervisor,Delta,2011-01-12,NA
9001770,Correctional,Alpha,2011-01-12,NA
9001771,Correctional Supervisor,Epsilon,2011-01-12,NA
9001774,Correctional,Delta,2011-01-12,NA
9001775,Correctional Supervisor,Delta,2011-01-12,NA
9001776,Correctional,Gamma,2018-10-01,NA
9001777,Correctional,Epsilon,2017-02-01,NA
9001778,Correctional,Delta,2011-01-12,NA
9001780,Correctional,Epsilon,2011-01-12,NA
9001783,Correctional,Delta,2014-12-01,NA
9001785,Correctional,Delta,2011-01-12,NA
9001786,Correctional,Gamma,2015-01-15,NA
9001789,Correctional,Delta,2011-01-12,NA
9001797,Correctional,Delta,2011-01-12,NA
9001802,Correctional,Epsilon,2012-05-01,NA
9001805,Correctional,Epsilon,2011-01-12,NA
9001807,Correctional,Alpha,2011-01-12,NA
9001808,Correctional,Beta,2011-01-12,NA
9001810,Correctional,Epsilon,2015-06-15,NA
9001812,Correctional,Gamma,2011-01-12,NA
