Employee_ID,HR_Location,Hours_Footage_Total,Hours_Footage_No_Shift,Hours_Shift_Total,Hours_Shift_No_Footage,Missing_Shift_Data,Missing_Camera_Data,Zero_Footage_Shifts,Average_Percent_of_Other_Shifts_Recorded,Clips,Days_With_Footage,Footage_Hours,Gaps,Average_Clips_per_Day,Average_Footage_Hours_per_Day,Average_Clip_Length,Average_Gaps_per_Day
9002196,Alpha,28.020555555555557,0,0,89,TRUE,FALSE,NA,NA,133,17,28.020555555555557,104,7.823529411764706,1.6482679738562092,0.2106808688387636,6.117647058823529
9002197,Alpha,16.436944444444446,0,0,73,TRUE,FALSE,NA,NA,110,15,16.436944444444443,10,7.333333333333333,1.0957962962962962,0.14942676767676769,0.6666666666666666
9002198,Alpha,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002199,Gamma,86.19555555555556,89,120,70,FALSE,FALSE,10,0.6729166666666666,35,12,86.19555555555556,0,2.9166666666666665,7.182962962962963,2.462730158730159,0
9002200,Gamma,86.31472222222222,32,119.99583333333334,34,FALSE,FALSE,1,0.6742620031449504,84,14,86.315,67,6,6.165357142857142,1.027559523809524,4.785714285714286
9002205,Gamma,64.02444444444444,84,120,39,FALSE,FALSE,8,0.5686755952380952,36,11,64.02444444444444,0,3.272727272727273,5.82040404040404,1.7784567901234567,0
9002211,Alpha,52.71722222222222,72,128,12,FALSE,FALSE,7,0.7129050925925926,46,8,52.7175,7,5.75,6.5896875,1.1460326086956525,0.875
9002236,Beta,66.79972222222223,39,104,30,FALSE,FALSE,1,0.5205960648148148,66,13,66.8,8,5.076923076923077,5.138461538461538,1.0121212121212122,0.6153846153846154
9002238,Beta,57.17027777777778,56,72,55,FALSE,FALSE,6,0.6491435185185185,32,12,57.17027777777778,9,2.6666666666666665,4.764189814814815,1.7865711805555555,0.75
9002242,Gamma,64.78611111111111,58,119.99583333333334,41,FALSE,FALSE,3,0.45861256756600344,63,15,64.78611111111111,10,4.2,4.3190740740740745,1.0283509700176368,0.6666666666666666
9002245,Delta,36.358333333333334,72,132,6,FALSE,FALSE,2,0.31076210826210826,77,14,36.358333333333334,12,5.5,2.5970238095238094,0.4721861471861471,0.8571428571428571
9002247,Delta,19.075555555555557,137,155.9975,2,FALSE,FALSE,14,0.8937526866448552,7,3,19.075555555555557,0,2.3333333333333335,6.358518518518519,2.725079365079365,0
9002249,Alpha,80.91166666666666,23,120,18,FALSE,FALSE,0,0.6092777777777778,83,15,80.91166666666666,14,5.533333333333333,5.394111111111111,0.9748393574297188,0.9333333333333332
9002250,Delta,24.189444444444444,127,151.99805555555557,11,FALSE,FALSE,8,0.23201844231988508,14,10,24.189444444444444,0,1.4,2.418944444444445,1.7278174603174603,0
9002251,Gamma,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002253,Beta,2.381388888888889,128,128,6,FALSE,FALSE,16,NA,4,2,2.381388888888889,0,2,1.1906944444444445,0.5953472222222222,0
9002257,Beta,75.62361111111112,48,103.99638888888889,67,FALSE,FALSE,1,0.3272191164045048,88,18,75.62361111111112,9,4.888888888888889,4.201311728395062,0.8593592171717171,0.5
9002261,Alpha,0.0022222222222222222,118,119.99916666666667,0,FALSE,FALSE,14,2.777777777777778e-4,2,1,0.00222222222222222,0,2,0.00222222222222222,0.00111111111111111,0
9002262,Alpha,54.969166666666666,52,144,9,FALSE,FALSE,0,0.3447145061728395,138,17,54.969166666666666,16,8.117647058823529,3.2334803921568627,0.3983272946859903,0.9411764705882352
9002264,Gamma,100.84611111111111,32,120,31,FALSE,FALSE,4,0.916518308080808,60,15,100.84611111111111,7,4,6.723074074074074,1.6807685185185186,0.4666666666666667
9002266,Gamma,9.363888888888889,110,120,3,FALSE,FALSE,13,0.48336805555555556,11,2,9.363888888888887,0,5.5,4.6819444444444445,0.8512626262626263,0
9002268,Epsilon,0,123,121.99638888888889,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002270,Epsilon,4.862222222222222,153,160,0,FALSE,FALSE,15,0.6077777777777778,6,1,4.862222222222222,0,6,4.862222222222222,0.8103703703703704,0
9002273,Alpha,0.2697222222222222,115,115.9961111111111,3,FALSE,FALSE,14,0.012986562033403938,3,3,0.2697222222222222,0,1,0.0899074074074074,0.08990740740740741,0
9002275,Alpha,90.82222222222222,42,161.99972222222223,28,FALSE,FALSE,0,0.4834110593478069,247,16,90.8225,10,15.4375,5.67640625,0.3677024291497976,0.625
9002279,Gamma,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002280,Delta,22.89638888888889,94,128,21,FALSE,FALSE,6,0.21418836805555555,81,10,22.89638888888889,7,8.1,2.289638888888889,0.2826714677640604,0.7
9002283,Delta,10.815277777777778,111,123.99694444444444,9,FALSE,FALSE,9,0.11263511384140139,13,8,10.815277777777778,0,1.625,1.3519097222222225,0.8319444444444445,0
9002284,Epsilon,17.226944444444445,110,120,0,FALSE,FALSE,12,0.7177893518518519,22,3,17.226944444444445,2,7.333333333333333,5.742314814814815,0.7830429292929293,0.6666666666666666
9002295,Alpha,40.849444444444444,81,137.9975,15,FALSE,FALSE,8,0.5778617362650073,108,9,40.84944444444445,4,12,4.5388271604938275,0.3782355967078189,0.4444444444444444
9002304,Epsilon,115.45388888888888,11,120,28,FALSE,FALSE,1,0.9241021825396826,47,19,115.4538888888889,13,2.473684210526316,6.076520467836258,2.456465721040189,0.6842105263157895
9002306,Delta,2.2283333333333335,0,0,6,TRUE,FALSE,NA,NA,3,1,2.228333333333333,0,3,2.228333333333333,0.7427777777777778,0
9002315,Gamma,83.76583333333333,51,120,43,FALSE,FALSE,5,0.675857638888889,89,11,83.76583333333333,8,8.090909090909092,7.615075757575758,0.941189138576779,0.7272727272727273
9002316,Epsilon,81.83916666666667,40,120,16,FALSE,FALSE,4,0.8354103535353535,60,11,81.83916666666667,10,5.454545454545454,7.439924242424243,1.3639861111111111,0.9090909090909092
9002320,Gamma,0,120,119.99583333333334,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002321,Alpha,46.48861111111111,42,131.9961111111111,15,FALSE,FALSE,3,0.40581743728123765,128,17,46.48861111111111,9,7.529411764705882,2.734624183006536,0.3631922743055555,0.5294117647058824
9002328,Delta,11.106944444444444,120,140,3,FALSE,FALSE,9,0.17651234567901233,16,7,11.106944444444444,5,2.2857142857142856,1.5867063492063491,0.6941840277777778,0.7142857142857143
9002329,Gamma,64.46527777777777,63,120,28,FALSE,FALSE,5,0.5638993055555556,43,10,64.46527777777777,7,4.3,6.446527777777777,1.4991925064599485,0.7
9002333,Beta,141.74805555555557,0,0,171,TRUE,FALSE,NA,NA,75,19,141.74805555555557,13,3.9473684210526314,7.460423976608188,1.889974074074074,0.6842105263157895
9002334,Gamma,67.28083333333333,39,120,10,FALSE,FALSE,2,0.6089182692307692,67,13,67.28083333333333,11,5.153846153846154,5.175448717948718,1.0041915422885572,0.8461538461538461
9002335,Gamma,0,120,119.99583333333334,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002337,Alpha,16.31972222222222,0,0,87,TRUE,FALSE,NA,NA,123,17,16.31972222222222,10,7.235294117647059,0.9599836601307188,0.1326806684733514,0.5882352941176471
9002345,Delta,53.086666666666666,61,140,8,FALSE,FALSE,5,0.5649837962962964,96,13,53.086666666666666,81,7.384615384615385,4.0835897435897435,0.5529861111111111,6.230769230769231
9002347,Alpha,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002349,Alpha,124.02194444444444,8,120,36,FALSE,FALSE,1,0.9559573412698412,86,14,124.02194444444444,11,6.142857142857143,8.858710317460318,1.4421156330749354,0.7857142857142857
9002356,Delta,3.8033333333333332,123,127.99583333333334,1,FALSE,FALSE,14,0.2879233315586009,3,1,3.803333333333333,0,3,3.803333333333333,1.267777777777778,0
9002363,Gamma,100.31833333333333,13,120,14,FALSE,FALSE,0,0.799775641025641,49,16,100.31833333333331,12,3.0625,6.269895833333333,2.047312925170068,0.75
9002369,Delta,3.7655555555555558,130,134.99583333333334,2,FALSE,FALSE,14,0.25689064477298684,7,1,3.765555555555556,0,7,3.765555555555556,0.5379365079365079,0
9002370,Alpha,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002371,Alpha,24.83861111111111,95,133.00027777777777,5,FALSE,FALSE,10,0.5410717592592592,72,6,24.83861111111111,4,12,4.139768518518518,0.3449807098765432,0.6666666666666666
9002374,Epsilon,91.02055555555556,44,128,43,FALSE,FALSE,2,0.5308422364672365,56,18,91.02055555555556,12,3.111111111111111,5.056697530864198,1.6253670634920634,0.6666666666666666
9002377,Gamma,97.89027777777778,25,120,24,FALSE,FALSE,3,0.8693258101851852,109,12,97.89027777777778,9,9.083333333333334,8.15752314814815,0.8980759429153925,0.75
9002378,Beta,100.0286111111111,3,79.99722222222222,46,FALSE,FALSE,0,0.7899024271676099,67,18,100.0286111111111,13,3.7222222222222223,5.557145061728395,1.492964344941957,0.7222222222222222
9002380,Epsilon,32.37027777777778,0,0,73,TRUE,FALSE,NA,NA,105,14,32.37027777777778,10,7.5,2.3121626984126986,0.3082883597883598,0.7142857142857143
9002388,Delta,37.92166666666667,42,128,14,FALSE,FALSE,1,0.2835218253968254,133,18,37.92194444444444,13,7.388888888888889,2.1067746913580248,0.2851274018379282,0.7222222222222222
9002393,Alpha,20.7325,0,0,70,TRUE,FALSE,NA,NA,90,14,20.7325,11,6.428571428571429,1.4808928571428572,0.23036111111111113,0.7857142857142857
9002396,Gamma,38.01916666666666,76,120,13,FALSE,FALSE,9,0.6859837962962962,47,8,38.01916666666667,37,5.875,4.752395833333334,0.808918439716312,4.625
9002399,Alpha,0,8,8,0,FALSE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002400,Alpha,39.96611111111111,88,120,15,FALSE,FALSE,11,0.96328125,27,4,39.96611111111111,2,6.75,9.991527777777778,1.4802263374485596,0.5
9002403,Beta,0,135,134.99583333333334,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
